## FlyBase gene genetic interactions report
## Generated: Sat May 29 01:03:13 2021
## Using datasource: dbi:Pg:dbname=fb_2021_03_reporting;host=flysql20;port=5432

##Starting_gene(s)_symbol	Starting_gene(s)_FBgn	Interacting_gene(s)_symbol	Interacting_gene(s)_FBgn	Interaction_type	Publication_FBrf
ds	FBgn0284247	dpp	FBgn0000490	suppressible	FBrf0179415
Mbs	FBgn0005536	Rok	FBgn0026181	suppressible	FBrf0180500
ksr	FBgn0015402	ttk	FBgn0003870	suppressible	FBrf0099341
H	FBgn0001169	sno	FBgn0265630	suppressible	FBrf0068459
tkv	FBgn0003716	put	FBgn0003169	enhanceable	FBrf0102634
pb|skd	FBgn0051481|FBgn0003415	Scr	FBgn0003339	suppressible	FBrf0131257
fz2	FBgn0016797	dco	FBgn0002413	enhanceable	FBrf0191849
Apc2	FBgn0026598	Apc	FBgn0015589	enhanceable	FBrf0145163
Kap-α3	FBgn0027338	sev	FBgn0003366	enhanceable	FBrf0202108
trx|ash1	FBgn0003862|FBgn0005386	Kdm5	FBgn0031759	enhanceable	FBrf0129826
Ras85D	FBgn0003205	14-3-3ε	FBgn0020238	suppressible	FBrf0131405
hid	FBgn0003997	cry	FBgn0025680	enhanceable	FBrf0174852
rdgB	FBgn0003218	ninaE	FBgn0002940	suppressible	FBrf0107054
rho	FBgn0004635	Eps-15	FBgn0035060	suppressible	FBrf0215049
bnl	FBgn0014135	grh	FBgn0259211	suppressible	FBrf0155706
tnc	FBgn0039257	mys	FBgn0004657	suppressible	FBrf0210522
Ppt1	FBgn0030057	IntS8	FBgn0025830	suppressible	FBrf0201672
ct	FBgn0004198	14-3-3ζ	FBgn0004907	suppressible	FBrf0187644
rpr	FBgn0011706	lncRNA:Hsrω	FBgn0001234	enhanceable	FBrf0209343
Pc|Antp	FBgn0003042|FBgn0260642	Pcl	FBgn0003044	enhanceable	FBrf0048952
Gr28b	FBgn0045495	TrpA1	FBgn0035934	suppressible	FBrf0222493
fz2	FBgn0016797	shf	FBgn0003390	suppressible	FBrf0217590
esc	FBgn0000588	E(Pc)	FBgn0000581	enhanceable	FBrf0066905
Pc	FBgn0003042	eff	FBgn0011217	enhanceable	FBrf0141543
E2f1	FBgn0011766	Mi-2	FBgn0262519	suppressible	FBrf0220353
l(2)gd1	FBgn0261983	Hrs	FBgn0031450	suppressible	FBrf0221154
smo	FBgn0003444	E(smoDN)1422	FBgn0083309	enhanceable	FBrf0188528
bs	FBgn0004101	rho	FBgn0004635	suppressible	FBrf0073104
parvin	FBgn0052528	Chd64	FBgn0035499	enhanceable	FBrf0219742
Mad	FBgn0011648	trio	FBgn0024277	suppressible	FBrf0210920
tkv	FBgn0003716	N	FBgn0004647	enhanceable	FBrf0092741
Orco	FBgn0037324	Ir8a	FBgn0052704	suppressible	FBrf0215822
Eip75B	FBgn0000568	S6k	FBgn0283472	suppressible	FBrf0230650
ovo	FBgn0003028	mle	FBgn0002774	suppressible	FBrf0065519
PlexA	FBgn0025741	Mical	FBgn0053208	suppressible	FBrf0214846
fzr	FBgn0262699	sn	FBgn0003447	suppressible	FBrf0237532
piwi	FBgn0004872	tgo	FBgn0264075	suppressible	FBrf0167655
wupA	FBgn0283471	Mhc	FBgn0264695	suppressible	FBrf0174929
edl	FBgn0023214	pnt	FBgn0003118	enhanceable	FBrf0161068
stwl	FBgn0003459	pum	FBgn0003165	suppressible	FBrf0200664
Clbn	FBgn0259152	hid	FBgn0003997	suppressible	FBrf0232069
cac	FBgn0263111	para	FBgn0285944	suppressible	FBrf0230696
siz	FBgn0026179	fra	FBgn0011592	enhanceable	FBrf0179365
MAN1	FBgn0034962	dpp	FBgn0000490	suppressible	FBrf0210050
Smn	FBgn0036641	CG13775	FBgn0031874	enhanceable	FBrf0222027
mirr	FBgn0014343	fng	FBgn0011591	suppressible	FBrf0112091
stau	FBgn0003520	neb	FBgn0004374	enhanceable	FBrf0099905
faf	FBgn0005632	Ras85D	FBgn0003205	enhanceable	FBrf0098784
btl	FBgn0285896	Pu	FBgn0003162	suppressible	FBrf0200509
l(3)mbt	FBgn0002441	aub	FBgn0000146	suppressible	FBrf0212713
Pi3K92E|foxo	FBgn0015279|FBgn0038197	Akt	FBgn0010379	suppressible	FBrf0187461
Nsf2	FBgn0266464	RpS2	FBgn0004867	suppressible	FBrf0187645
bocks	FBgn0037719	smash	FBgn0263346	enhanceable	FBrf0240931
ftz	FBgn0001077	how	FBgn0264491	suppressible	FBrf0180288
da	FBgn0267821	Su(da<up>lyh</up>)26E2	FBgn0026348	suppressible	FBrf0107280
Cdc42	FBgn0010341	grp	FBgn0261278	enhanceable	FBrf0179402
shn	FBgn0003396	Clk	FBgn0023076	suppressible	FBrf0223594
EcR	FBgn0000546	trr	FBgn0023518	suppressible	FBrf0173071
spn-D	FBgn0003482	spn-E	FBgn0003483	enhanceable	FBrf0100046
Snmp1	FBgn0260004	ninaD	FBgn0002939	suppressible	FBrf0232659
pnr	FBgn0003117	CG5180	FBgn0043457	enhanceable	FBrf0147055
tor	FBgn0003733	drk	FBgn0004638	suppressible	FBrf0058535
fra	FBgn0011592	Dscam3|Dscam1	FBgn0261046|FBgn0033159	enhanceable	FBrf0206236
Neto	FBgn0265416	gbb	FBgn0024234	enhanceable	FBrf0223617
SCAR	FBgn0041781	trio	FBgn0024277	enhanceable	FBrf0234657
Pc	FBgn0003042	E(Pc)	FBgn0000581	enhanceable	FBrf0104905
brat	FBgn0010300	orb2	FBgn0264307	suppressible	FBrf0237581
pbl	FBgn0003041	east	FBgn0261954	enhanceable	FBrf0199094
fz	FBgn0001085	ck	FBgn0000317	suppressible	FBrf0135688
ase	FBgn0000137	nvy	FBgn0005636	suppressible	FBrf0190182
stg	FBgn0003525	mod	FBgn0002780	enhanceable	FBrf0160842
N	FBgn0004647	Dcr-1	FBgn0039016	suppressible	FBrf0214603
Dark	FBgn0263864	pcm	FBgn0020261	suppressible	FBrf0228467
pbl	FBgn0003041	Myo31DF	FBgn0086347	suppressible	FBrf0199094
mei-9	FBgn0002707	pch2	FBgn0051453	suppressible	FBrf0207080
mir-8	FBgn0262432	ena	FBgn0000578	suppressible	FBrf0209364
btl|stumps	FBgn0285896|FBgn0020299	EP595b	FBgn0043586	suppressible	FBrf0187664
Dronc	FBgn0026404	Diap1	FBgn0260635	enhanceable	FBrf0132365
sgl	FBgn0261445	htl	FBgn0010389	suppressible	FBrf0110202
Smox	FBgn0025800	CG31436	FBgn0051436	suppressible	FBrf0235445
ec	FBgn0000542	shg	FBgn0003391	suppressible	FBrf0202297
run	FBgn0003300	RpS17	FBgn0005533	enhanceable	FBrf0086390
Bx	FBgn0265598	Stt3A	FBgn0031149	enhanceable	FBrf0211594
para	FBgn0285944	CaMKII	FBgn0264607	enhanceable	FBrf0151370
ct	FBgn0004198	Aef1	FBgn0005694	enhanceable	FBrf0187644
Atg1	FBgn0260945	Rheb	FBgn0041191	suppressible	FBrf0194462
hep	FBgn0010303	puc	FBgn0243512	suppressible	FBrf0111528
brk	FBgn0024250	shn	FBgn0003396	suppressible	FBrf0135728
Ras85D|sev	FBgn0003205|FBgn0003366	l(3)04704a|l(3)04704b	FBgn0026221|FBgn0026220	suppressible	FBrf0105879
or	FBgn0003008	aux	FBgn0037218	enhanceable	FBrf0210495
goe	FBgn0027528	aos	FBgn0004569	enhanceable	FBrf0226806
Dsor1	FBgn0010269	aop	FBgn0000097	suppressible	FBrf0087493
kirre	FBgn0028369	Rho1	FBgn0014020	enhanceable	FBrf0227785
pbl	FBgn0003041	sca	FBgn0003326	enhanceable	FBrf0199094
Tl	FBgn0262473	Dif	FBgn0011274	suppressible	FBrf0238295
CG15283	FBgn0028844	dgo	FBgn0086898	enhanceable	FBrf0218210
aos	FBgn0004569	S	FBgn0003310	suppressible	FBrf0086612
grp	FBgn0261278	lok	FBgn0019686	suppressible	FBrf0157179
Mtl	FBgn0039532	Cdc42	FBgn0010341	suppressible	FBrf0200938
stet	FBgn0020248	S	FBgn0003310	enhanceable	FBrf0129841
Vps60	FBgn0036740	Ist1	FBgn0035715	enhanceable	FBrf0243352
Dcp-1	FBgn0010501	S6k	FBgn0283472	suppressible	FBrf0209948
Egfr	FBgn0003731	sev::tor	FBgn0014384	suppressible	FBrf0090558
upd3	FBgn0053542	upd2	FBgn0030904	enhanceable	FBrf0221087
rg	FBgn0266098	aos	FBgn0004569	enhanceable	FBrf0149022
flw	FBgn0000711	rhea	FBgn0260442	enhanceable	FBrf0221198
bwk	FBgn0004884	Src42A	FBgn0264959	suppressible	FBrf0167514
Bx	FBgn0265598	SERCA	FBgn0263006	enhanceable	FBrf0211594
Ret	FBgn0011829	Src42A	FBgn0264959	suppressible	FBrf0236917
mam	FBgn0002643	Dl	FBgn0000463	suppressible	FBrf0111904
Cat	FBgn0000261	PHGPx	FBgn0035438	suppressible	FBrf0222093
Nup44A	FBgn0033247	Nprl3	FBgn0036397	suppressible	FBrf0227168
Nf1	FBgn0015269	CCKLR-17D1	FBgn0259231	suppressible	FBrf0223429
foxo	FBgn0038197	Gycβ100B	FBgn0013973	suppressible	FBrf0217639
Smox	FBgn0025800	Rala	FBgn0015286	suppressible	FBrf0235445
dom	FBgn0020306	Atg12	FBgn0036255	enhanceable	FBrf0221645
N	FBgn0004647	lqf	FBgn0028582	enhanceable	FBrf0180177
hid	FBgn0003997	CSN5	FBgn0027053	suppressible	FBrf0212528
Ctr1B	FBgn0062412	Ctr1A	FBgn0062413	enhanceable	FBrf0210589
ft	FBgn0001075	wg	FBgn0284084	suppressible	FBrf0180144
smo	FBgn0003444	S(smoDN)204	FBgn0083151	suppressible	FBrf0188528
slpr	FBgn0030018	puc	FBgn0243512	enhanceable	FBrf0193269
wdb	FBgn0027492	wrd	FBgn0042693	enhanceable	FBrf0206924
scb	FBgn0286785	LanA|sli	FBgn0002526|FBgn0264089	enhanceable	FBrf0149077
ro	FBgn0003267	ptc	FBgn0003892	enhanceable	FBrf0131272
Urm1	FBgn0053276	Jafrac1	FBgn0040309	suppressible	FBrf0231575
caz	FBgn0285954	lncRNA:Hsrω	FBgn0001234	enhanceable	FBrf0235340
cup	FBgn0000392	EndoA	FBgn0038659	enhanceable	FBrf0229346
mael	FBgn0016034	loqs	FBgn0032515	suppressible	FBrf0208840
park	FBgn0041100	ref(2)P	FBgn0003231	suppressible	FBrf0223101
Akt|Pdk1	FBgn0010379|FBgn0020386	chrb	FBgn0036165	suppressible	FBrf0180258
Klp61F	FBgn0004378	ncd	FBgn0002924	suppressible	FBrf0234675
Notum	FBgn0044028	dlp	FBgn0041604	suppressible	FBrf0180126
grim	FBgn0015946	Diap1	FBgn0260635	suppressible	FBrf0167712
vtd	FBgn0260987	Dsp1	FBgn0278608	suppressible	FBrf0230345
fz2	FBgn0016797	fz	FBgn0001085	suppressible	FBrf0104536
Lar	FBgn0000464	Lar::Ptp69D	FBgn0046882	suppressible	FBrf0139775
per	FBgn0003068	tim	FBgn0014396	suppressible	FBrf0128628
path	FBgn0036007	hppy	FBgn0263395	enhanceable	FBrf0212911
lark	FBgn0011640	dco	FBgn0002413	enhanceable	FBrf0226207
Abl	FBgn0000017	Abl::Hsap\ABL1	FBgn0015006	suppressible	FBrf0051398
Cad99C	FBgn0039709	sas	FBgn0002306	suppressible	FBrf0224773
y	FBgn0004034	mod(mdg4)	FBgn0002781	enhanceable	FBrf0099893
rho	FBgn0004635	emc	FBgn0000575	enhanceable	FBrf0107601
Smg5	FBgn0019890	Gadd45	FBgn0033153	suppressible	FBrf0239579
Ced-12	FBgn0032409	Rho1	FBgn0014020	enhanceable	FBrf0227785
dpp	FBgn0000490	bsk	FBgn0000229	suppressible	FBrf0217104
ft	FBgn0001075	yki	FBgn0034970	suppressible	FBrf0194966
Nsf2	FBgn0266464	Syn2	FBgn0034135	suppressible	FBrf0187645
E2f1	FBgn0011766	Su(E1)-E	FBgn0262771	suppressible	FBrf0209056
egr	FBgn0033483	wgn	FBgn0030941	suppressible	FBrf0151360
bchs	FBgn0043362	Diap1	FBgn0260635	suppressible	FBrf0190751
DAAM	FBgn0025641	Arpc1	FBgn0001961	enhanceable	FBrf0213367
gig	FBgn0005198	bun	FBgn0259176	suppressible	FBrf0230220
slbo	FBgn0005638	EP2585	FBgn0024755	suppressible	FBrf0101995
Fas2	FBgn0000635	Appl	FBgn0000108	enhanceable	FBrf0187897
Zip42C.1|ZnT63C	FBgn0033096|FBgn0035432	Zip42C.2	FBgn0033097	suppressible	FBrf0220942
Abd-B	FBgn0000015	abd-A	FBgn0000014	suppressible	FBrf0083977
Pink1	FBgn0029891	HtrA2	FBgn0038233	suppressible	FBrf0206306
upd1	FBgn0004956	trbl	FBgn0028978	suppressible	FBrf0190752
Pc	FBgn0003042	E(Pc)	FBgn0000581	enhanceable	FBrf0066905
htl	FBgn0010389	sty	FBgn0014388	suppressible	FBrf0111472
baz	FBgn0000163	Patronin	FBgn0263197	enhanceable	FBrf0237610
aph-1	FBgn0031458	crb	FBgn0259685	suppressible	FBrf0209872
CycE	FBgn0010382	Snr1	FBgn0011715	suppressible	FBrf0180291
p38b	FBgn0024846	MAPk-Ak2	FBgn0013987	enhanceable	FBrf0214607
esg	FBgn0287768	ase	FBgn0000137	suppressible	FBrf0235373
mir-315	FBgn0262461	Axn	FBgn0026597	suppressible	FBrf0202770
Ssdp	FBgn0011481	CG11893	FBgn0039316	enhanceable	FBrf0211594
rpr	FBgn0011706	Lgr3	FBgn0039354	suppressible	FBrf0230069
p53	FBgn0039044	Wee1	FBgn0011737	suppressible	FBrf0149024
Pcl	FBgn0003044	Su(z)12	FBgn0020887	enhanceable	FBrf0239217
X11L	FBgn0026313	rst	FBgn0003285	enhanceable	FBrf0190176
B	FBgn0000154	E(B)	FBgn0000539	enhanceable	FBrf0094194
dia	FBgn0011202	wts	FBgn0011739	suppressible	FBrf0213953
csw	FBgn0000382	S	FBgn0003310	enhanceable	FBrf0129810
Doa	FBgn0265998	tra	FBgn0003741	suppressible	FBrf0205853
nej	FBgn0261617	CrebA	FBgn0004396	suppressible	FBrf0190701
E2f1	FBgn0011766	Dp	FBgn0011763	enhanceable	FBrf0194141
Ubqn	FBgn0031057	Diap1	FBgn0260635	suppressible	FBrf0202621
E(Mer)IIIa	FBgn0044874	Mer	FBgn0086384	enhanceable	FBrf0136951
Ras85D|sev	FBgn0003205|FBgn0003366	InR	FBgn0283499	suppressible	FBrf0105879
Raf	FBgn0003079	Dsor1	FBgn0010269	suppressible	FBrf0073777
Kdm5	FBgn0031759	shg	FBgn0003391	suppressible	FBrf0230112
hid	FBgn0003997	Ras85D	FBgn0003205	suppressible	FBrf0214698
btl|stumps	FBgn0285896|FBgn0020299	EP1200	FBgn0083244	suppressible	FBrf0187664
Rheb	FBgn0041191	zfh2	FBgn0004607	suppressible	FBrf0244422
Tsc1|gig	FBgn0026317|FBgn0005198	Cpsf6	FBgn0035872	suppressible	FBrf0238799
Cdc42	FBgn0010341	numb	FBgn0002973	suppressible	FBrf0179402
bsk	FBgn0000229	Fas2	FBgn0000635	suppressible	FBrf0230342
w	FBgn0003996	B52	FBgn0004587	enhanceable	FBrf0068180
pnr	FBgn0003117	Tlk	FBgn0283657	enhanceable	FBrf0147055
Egfr	FBgn0003731	S	FBgn0003310	enhanceable	FBrf0073598
Kr	FBgn0001325	Sema2a	FBgn0011260	enhanceable	FBrf0129693
gcm	FBgn0014179	nej	FBgn0261617	suppressible	FBrf0220515
Dref	FBgn0015664	RpS26	FBgn0261597	suppressible	FBrf0207590
Raf	FBgn0003079	spen	FBgn0016977	enhanceable	FBrf0086382
tor	FBgn0003733	Su(tor)2-87	FBgn0014060	suppressible	FBrf0058535
net	FBgn0002931	Egfr	FBgn0003731	enhanceable	FBrf0052884
Hem	FBgn0011771	WASp	FBgn0024273	suppressible	FBrf0194614
α-Spec	FBgn0250789	SkpA	FBgn0025637	suppressible	FBrf0225403
dgo	FBgn0086898	pk	FBgn0003090	enhanceable	FBrf0188147
nkd	FBgn0002945	nkd::Btau\recoverin	FBgn0086169	suppressible	FBrf0192436
N	FBgn0004647	Pcif1	FBgn0037021	enhanceable	FBrf0202749
Chi	FBgn0013764	pygo	FBgn0043900	suppressible	FBrf0235074
Raf	FBgn0003079	EY2-5	FBgn0040332	enhanceable	FBrf0125429
peb	FBgn0003053	retn	FBgn0004795	suppressible	FBrf0180294
lok	FBgn0019686	EP2124	FBgn0265397	enhanceable	FBrf0207160
Ras85D|Csk	FBgn0003205|FBgn0262081	Nek2	FBgn0029970	enhanceable	FBrf0222571
galla-1	FBgn0034543	galla-2	FBgn0036107	enhanceable	FBrf0228544
Ace	FBgn0000024	Pka-R1	FBgn0259243	suppressible	FBrf0162205
H	FBgn0001169	lola	FBgn0283521	enhanceable	FBrf0190751
Dp	FBgn0011763	Dark	FBgn0263864	suppressible	FBrf0190216
N	FBgn0004647	Nipped-A	FBgn0053554	suppressible	FBrf0191191
nkd	FBgn0002945	por	FBgn0004957	enhanceable	FBrf0125452
sky	FBgn0032901	Vps39	FBgn0038593	suppressible	FBrf0226837
Bx	FBgn0265598	fng	FBgn0011591	enhanceable	FBrf0179340
Pld	FBgn0286511	CG11426	FBgn0037166	suppressible	FBrf0207819
Nsf2	FBgn0266464	Syb	FBgn0003660	enhanceable	FBrf0135720
l(2)gd1	FBgn0261983	N	FBgn0004647	suppressible	FBrf0221154
smo	FBgn0003444	E(smoDN)1496	FBgn0083306	enhanceable	FBrf0188528
smo	FBgn0003444	jaft	FBgn0083086	enhanceable	FBrf0188527
par-1	FBgn0260934	tau	FBgn0266579	suppressible	FBrf0207584
l(2)gl	FBgn0002121	puc	FBgn0243512	suppressible	FBrf0211298
IKKε	FBgn0086657	Rab11	FBgn0015790	enhanceable	FBrf0212985
tkv	FBgn0003716	shg	FBgn0003391	enhanceable	FBrf0200828
Dl	FBgn0000463	Amun	FBgn0030328	enhanceable	FBrf0208696
lqf	FBgn0028582	N	FBgn0004647	enhanceable	FBrf0180177
CkIIα	FBgn0264492	Ank2	FBgn0261788	enhanceable	FBrf0223609
Blos1	FBgn0050077	rb	FBgn0003210	enhanceable	FBrf0209903
hep	FBgn0010303	puc	FBgn0243512	suppressible	FBrf0167481
nesd	FBgn0032848	pav	FBgn0011692	enhanceable	FBrf0212581
ct	FBgn0004198	h	FBgn0001168	suppressible	FBrf0187644
Myc	FBgn0262656	run	FBgn0003300	suppressible	FBrf0212913
Tak1	FBgn0026323	hep	FBgn0010303	suppressible	FBrf0135880
ninaE|norpA	FBgn0002940|FBgn0262738	Rh7	FBgn0036260	suppressible	FBrf0235590
png	FBgn0000826	Pp1-87B	FBgn0004103	suppressible	FBrf0138402
Strip	FBgn0035437	spri	FBgn0085443	enhanceable	FBrf0226534
Bx	FBgn0265598	pnt	FBgn0003118	suppressible	FBrf0202749
lab	FBgn0002522	pb	FBgn0051481	suppressible	FBrf0141495
grim	FBgn0015946	DUBAI	FBgn0033738	enhanceable	FBrf0224337
Apc2|Apc	FBgn0026598|FBgn0015589	Axn	FBgn0026597	suppressible	FBrf0159716
nmo	FBgn0011817	Tak1	FBgn0026323	suppressible	FBrf0152201
Pink1	FBgn0029891	HtrA2	FBgn0038233	enhanceable	FBrf0206306
dally	FBgn0263930	Dad	FBgn0020493	suppressible	FBrf0208956
Sce	FBgn0003330	Psc	FBgn0005624	enhanceable	FBrf0053747
fzr	FBgn0262699	α-Man-Ia	FBgn0259170	suppressible	FBrf0237532
Daxx	FBgn0031820	puc	FBgn0243512	suppressible	FBrf0221314
Nrg	FBgn0264975	Egfr	FBgn0003731	enhanceable	FBrf0132430
Tsc1|gig	FBgn0026317|FBgn0005198	Pten	FBgn0026379	enhanceable	FBrf0135684
scrib	FBgn0263289	ben	FBgn0000173	suppressible	FBrf0224023
bi	FBgn0000179	hep	FBgn0010303	enhanceable	FBrf0108559
w	FBgn0003996	AGO2	FBgn0087035	suppressible	FBrf0215206
lig	FBgn0020279	Diap1	FBgn0260635	suppressible	FBrf0222164
fra	FBgn0011592	comm	FBgn0010105	suppressible	FBrf0207948
mei-P26	FBgn0026206	bam	FBgn0000158	enhanceable	FBrf0130005
ptc	FBgn0003892	yki	FBgn0034970	suppressible	FBrf0219794
Chi	FBgn0013764	Xbp1	FBgn0021872	suppressible	FBrf0211594
Myc	FBgn0262656	Su(z)2	FBgn0265623	suppressible	FBrf0193047
Hsc70-4	FBgn0266599	H	FBgn0001169	suppressible	FBrf0123050
RYBP	FBgn0034763	rpr	FBgn0011706	suppressible	FBrf0223248
aop	FBgn0000097	shg	FBgn0003391	suppressible	FBrf0187480
LIMK1	FBgn0283712	dia	FBgn0011202	suppressible	FBrf0180582
Ras85D|sev	FBgn0003205|FBgn0003366	trx	FBgn0003862	suppressible	FBrf0105879
Pc	FBgn0003042	urd	FBgn0003960	suppressible	FBrf0048952
crol	FBgn0020309	E2f1	FBgn0011766	suppressible	FBrf0207008
polo	FBgn0003124	numb	FBgn0002973	suppressible	FBrf0213702
Rheb	FBgn0041191	Tsc1|gig	FBgn0026317|FBgn0005198	suppressible	FBrf0160980
aos	FBgn0004569	Raf	FBgn0003079	suppressible	FBrf0089814
H	FBgn0001169	MESR4	FBgn0034240	enhanceable	FBrf0128367
Pisd	FBgn0026576	Ppt1	FBgn0030057	enhanceable	FBrf0211516
ct	FBgn0004198	lwr	FBgn0010602	enhanceable	FBrf0187644
Pdk1	FBgn0020386	Akt	FBgn0010379	suppressible	FBrf0137097
arm	FBgn0000117	Apc2	FBgn0026598	suppressible	FBrf0202572
w	FBgn0003996	woc	FBgn0010328	suppressible	FBrf0217652
pbl	FBgn0003041	Dp1	FBgn0027835	suppressible	FBrf0199094
hpo	FBgn0261456	Ncoa6	FBgn0031698	suppressible	FBrf0226375
CycE	FBgn0010382	arm	FBgn0000117	suppressible	FBrf0180291
Toll-7	FBgn0034476	Tollo	FBgn0029114	enhanceable	FBrf0212564
pnr	FBgn0003117	Vti1b	FBgn0264751	enhanceable	FBrf0147055
dsh	FBgn0000499	Mbs	FBgn0005536	suppressible	FBrf0180500
ph-p	FBgn0004861	rept	FBgn0040075	enhanceable	FBrf0193464
f	FBgn0262111	e(w<up>e</up>)	FBgn0000608	suppressible	FBrf0048208
Chi	FBgn0013764	tou	FBgn0033636	enhanceable	FBrf0187487
Socs36E	FBgn0041184	hop	FBgn0004864	suppressible	FBrf0151456
px	FBgn0003175	ast	FBgn0015905	suppressible	unattributed
Psn	FBgn0284421	Spt5	FBgn0040273	enhanceable	FBrf0190744
stumps	FBgn0020299	Ras85D	FBgn0003205	suppressible	FBrf0105337
smo	FBgn0003444	Kdm3	FBgn0037703	suppressible	FBrf0236101
N	FBgn0004647	anon-XIV	FBgn0019850	suppressible	FBrf0090844
TrpA1	FBgn0035934	Dop1R1	FBgn0011582	suppressible	FBrf0219314
Kdm5	FBgn0031759	Myc	FBgn0262656	enhanceable	FBrf0193047
GluRIIA	FBgn0004620	Khc-73	FBgn0019968	suppressible	FBrf0212495
kay	FBgn0001297	D1	FBgn0000412	enhanceable	FBrf0194564
upd1	FBgn0004956	Mad	FBgn0011648	suppressible	FBrf0167623
Sox21a	FBgn0036411	Mmp2	FBgn0033438	suppressible	FBrf0230512
sfl	FBgn0020251	Hsepi	FBgn0033087	enhanceable	FBrf0223375
par-1	FBgn0260934	Lkb1	FBgn0038167	enhanceable	FBrf0206227
Pvr|hep	FBgn0032006|FBgn0010303	kay	FBgn0001297	suppressible	FBrf0201428
drpr	FBgn0027594	Itgbn	FBgn0010395	enhanceable	FBrf0214359
unc-5	FBgn0034013	fra	FBgn0011592	suppressible	FBrf0141688
gwl	FBgn0260399	polo	FBgn0003124	enhanceable	FBrf0222183
pbl	FBgn0003041	dia	FBgn0011202	suppressible	FBrf0199094
rux	FBgn0003302	CycB	FBgn0000405	suppressible	FBrf0073190
bwk	FBgn0004884	Src42A	FBgn0264959	enhanceable	FBrf0167514
Psn	FBgn0284421	Su(H)	FBgn0004837	suppressible	FBrf0190133
Ubx	FBgn0003944	Asx	FBgn0261823	suppressible	FBrf0209467
vap	FBgn0003969	rho	FBgn0004635	enhanceable	FBrf0155942
Myc	FBgn0262656	mir-308	FBgn0262407	suppressible	FBrf0220584
rb	FBgn0003210	aux	FBgn0037218	enhanceable	FBrf0210495
Rab11	FBgn0015790	puc	FBgn0243512	enhanceable	FBrf0208143
J	FBgn0001278	M(2)p	FBgn0005279	enhanceable	FBrf0001812
Smn	FBgn0036641	ctp	FBgn0011760	suppressible	FBrf0206033
Dp|E2f1	FBgn0011763|FBgn0011766	Ras85D	FBgn0003205	enhanceable	FBrf0111491
smi65A	FBgn0016935	smi51A	FBgn0016932	suppressible	FBrf0102310
sina	FBgn0003410	SS3-6	FBgn0024305	suppressible	FBrf0100609
ct	FBgn0004198	ctp	FBgn0011760	enhanceable	FBrf0078522
ct	FBgn0004198	SMSr	FBgn0052380	suppressible	FBrf0187644
InR	FBgn0283499	Ptp61F	FBgn0267487	suppressible	FBrf0226348
vn	FBgn0003984	Egfr	FBgn0003731	enhanceable	FBrf0052884
rho	FBgn0004635	Egfr	FBgn0003731	suppressible	FBrf0108778
KLHL18	FBgn0037978	CG5808	FBgn0027617	enhanceable	FBrf0208555
mrt	FBgn0039507	pzg	FBgn0259785	suppressible	FBrf0240036
Nsf2	FBgn0266464	por	FBgn0004957	enhanceable	FBrf0135720
Lrrk	FBgn0038816	Dcr-1	FBgn0039016	enhanceable	FBrf0211387
wg	FBgn0284084	nkd	FBgn0002945	suppressible	FBrf0135776
E2f1	FBgn0011766	pan	FBgn0085432	suppressible	FBrf0221005
dpp	FBgn0000490	cv	FBgn0000394	enhanceable	FBrf0207556
Dl	FBgn0000463	kst	FBgn0004167	enhanceable	FBrf0208696
acj6	FBgn0000028	vvl	FBgn0086680	enhanceable	FBrf0195086
bw	FBgn0000241	Mod(Prat:bw)1-2	FBgn0067885	suppressible	FBrf0162143
sgl	FBgn0261445	wg	FBgn0284084	suppressible	FBrf0094170
DCTN1-p150	FBgn0001108	Dhc64C	FBgn0261797	suppressible	unattributed
Raf	FBgn0003079	Su(phl)9	FBgn0014889	suppressible	FBrf0073777
sli	FBgn0264089	sd	FBgn0003345	suppressible	FBrf0211962
Lpin	FBgn0263593	Tor	FBgn0021796	enhanceable	FBrf0230319
bip1	FBgn0026263	Pvr	FBgn0032006	suppressible	FBrf0226431
N	FBgn0004647	Pi3K68D	FBgn0015278	enhanceable	FBrf0167897
chb	FBgn0021760	Dab	FBgn0000414	suppressible	FBrf0211499
bw	FBgn0000241	l(3)neo38	FBgn0265276	suppressible	FBrf0211786
Myc	FBgn0262656	Snr1	FBgn0011715	suppressible	FBrf0193047
Fmr1	FBgn0028734	Hem	FBgn0011771	suppressible	FBrf0179776
Spn77Ba	FBgn0262057	Hayan	FBgn0030925	suppressible	FBrf0217593
da	FBgn0267821	sens	FBgn0002573	enhanceable	FBrf0190299
SH3PX1	FBgn0040475	bsk	FBgn0000229	suppressible	FBrf0242427
ap	FBgn0267978	Mf	FBgn0038294	suppressible	FBrf0211594
kud	FBgn0036667	koi	FBgn0265003	suppressible	FBrf0236591
CycE	FBgn0010382	pnt	FBgn0003118	suppressible	FBrf0180291
cry	FBgn0025680	Rh7	FBgn0036260	enhanceable	FBrf0237162
Fs	FBgn0259878	Actβ	FBgn0024913	suppressible	FBrf0207743
Su(var)205	FBgn0003607	egg	FBgn0086908	suppressible	FBrf0208607
hep	FBgn0010303	Xbp1	FBgn0021872	suppressible	FBrf0226085
Cln3	FBgn0036756	bsk	FBgn0000229	enhanceable	FBrf0206987
Dcp-1	FBgn0010501	Dark	FBgn0263864	suppressible	FBrf0123261
emc	FBgn0000575	Dl	FBgn0000463	suppressible	FBrf0055045
